timestamp,action,price,indicators,result
2025-01-22 14:58:58,analysis,1.044375,{'rsi': np.float64(39.41), 'ema_short': np.float64(1.04423), 'ema_medium': np.float64(1.04427), 'ema_long': np.float64(1.04481), 'bb_upper': np.float64(1.04447), 'bb_lower': np.float64(1.04407), 'bb_sma': np.float64(1.04427)},None
2025-01-22 14:58:59,analysis,1.04437,{'rsi': np.float64(39.41), 'ema_short': np.float64(1.04423), 'ema_medium': np.float64(1.04428), 'ema_long': np.float64(1.04478), 'bb_upper': np.float64(1.04448), 'bb_lower': np.float64(1.04408), 'bb_sma': np.float64(1.04428)},None
2025-01-22 14:59:00,analysis,1.04437,{'rsi': np.float64(39.41), 'ema_short': np.float64(1.04425), 'ema_medium': np.float64(1.04429), 'ema_long': np.float64(1.04476), 'bb_upper': np.float64(1.04449), 'bb_lower': np.float64(1.04408), 'bb_sma': np.float64(1.04428)},None
2025-01-22 14:59:02,analysis,1.044375,{'rsi': np.float64(39.41), 'ema_short': np.float64(1.04427), 'ema_medium': np.float64(1.04429), 'ema_long': np.float64(1.04474), 'bb_upper': np.float64(1.04449), 'bb_lower': np.float64(1.04408), 'bb_sma': np.float64(1.04429)},None
2025-01-22 14:59:03,analysis,1.044375,{'rsi': np.float64(39.41), 'ema_short': np.float64(1.0443), 'ema_medium': np.float64(1.04429), 'ema_long': np.float64(1.04471), 'bb_upper': np.float64(1.04449), 'bb_lower': np.float64(1.04408), 'bb_sma': np.float64(1.04429)},None
2025-01-22 14:59:04,analysis,1.044365,{'rsi': np.float64(39.41), 'ema_short': np.float64(1.04431), 'ema_medium': np.float64(1.04429), 'ema_long': np.float64(1.04468), 'bb_upper': np.float64(1.04447), 'bb_lower': np.float64(1.04409), 'bb_sma': np.float64(1.04428)},None
2025-01-22 14:59:05,analysis,1.044345,{'rsi': np.float64(39.41), 'ema_short': np.float64(1.04434), 'ema_medium': np.float64(1.04428), 'ema_long': np.float64(1.04465), 'bb_upper': np.float64(1.04444), 'bb_lower': np.float64(1.04411), 'bb_sma': np.float64(1.04428)},None
2025-01-22 14:59:07,analysis,1.044365,{'rsi': np.float64(39.41), 'ema_short': np.float64(1.04437), 'ema_medium': np.float64(1.04426), 'ema_long': np.float64(1.04462), 'bb_upper': np.float64(1.04445), 'bb_lower': np.float64(1.04411), 'bb_sma': np.float64(1.04428)},None
2025-01-22 14:59:08,analysis,1.044365,{'rsi': np.float64(39.41), 'ema_short': np.float64(1.04437), 'ema_medium': np.float64(1.04426), 'ema_long': np.float64(1.04459), 'bb_upper': np.float64(1.04445), 'bb_lower': np.float64(1.04413), 'bb_sma': np.float64(1.04429)},None
2025-01-22 14:59:09,analysis,1.04434,{'rsi': np.float64(39.41), 'ema_short': np.float64(1.04437), 'ema_medium': np.float64(1.04427), 'ema_long': np.float64(1.04456), 'bb_upper': np.float64(1.04446), 'bb_lower': np.float64(1.04413), 'bb_sma': np.float64(1.0443)},None
2025-01-22 14:59:10,analysis,1.04433,{'rsi': np.float64(39.41), 'ema_short': np.float64(1.04436), 'ema_medium': np.float64(1.04428), 'ema_long': np.float64(1.04453), 'bb_upper': np.float64(1.04446), 'bb_lower': np.float64(1.04414), 'bb_sma': np.float64(1.0443)},None
2025-01-22 14:59:12,analysis,1.04433,{'rsi': np.float64(39.41), 'ema_short': np.float64(1.04436), 'ema_medium': np.float64(1.04429), 'ema_long': np.float64(1.0445), 'bb_upper': np.float64(1.04446), 'bb_lower': np.float64(1.04415), 'bb_sma': np.float64(1.0443)},None
2025-01-22 14:59:13,analysis,1.04433,{'rsi': np.float64(39.41), 'ema_short': np.float64(1.04435), 'ema_medium': np.float64(1.04429), 'ema_long': np.float64(1.04447), 'bb_upper': np.float64(1.04446), 'bb_lower': np.float64(1.04415), 'bb_sma': np.float64(1.04431)},None
2025-01-22 14:59:14,analysis,1.044315,{'rsi': np.float64(39.41), 'ema_short': np.float64(1.04435), 'ema_medium': np.float64(1.04429), 'ema_long': np.float64(1.04444), 'bb_upper': np.float64(1.04446), 'bb_lower': np.float64(1.04417), 'bb_sma': np.float64(1.04431)},None
2025-01-22 14:59:15,analysis,1.044275,{'rsi': np.float64(39.41), 'ema_short': np.float64(1.04434), 'ema_medium': np.float64(1.0443), 'ema_long': np.float64(1.04442), 'bb_upper': np.float64(1.04445), 'bb_lower': np.float64(1.04419), 'bb_sma': np.float64(1.04432)},None
2025-01-22 14:59:17,analysis,1.04429,{'rsi': np.float64(39.41), 'ema_short': np.float64(1.04434), 'ema_medium': np.float64(1.04431), 'ema_long': np.float64(1.0444), 'bb_upper': np.float64(1.04444), 'bb_lower': np.float64(1.04421), 'bb_sma': np.float64(1.04433)},None
2025-01-22 14:59:18,analysis,1.04428,{'rsi': np.float64(39.41), 'ema_short': np.float64(1.04433), 'ema_medium': np.float64(1.04432), 'ema_long': np.float64(1.04438), 'bb_upper': np.float64(1.04444), 'bb_lower': np.float64(1.04422), 'bb_sma': np.float64(1.04433)},None
