timestamp,action,price,indicators,result
2025-01-22 16:08:36,analysis,1.04414,{'rsi': 67.23404255318883, 'ema_short': 1.0438846256480712, 'ema_medium': 1.0438130211739851, 'ema_long': 1.0437233491350923, 'bb_upper': 1.0440797966685422, 'bb_lower': 1.0434637033314575, 'bb_sma': 1.0437717499999999},None
2025-01-22 16:08:38,analysis,1.04414,{'rsi': 67.23404255318883, 'ema_short': 1.0438846256480712, 'ema_medium': 1.0438130211739851, 'ema_long': 1.0437233491350923, 'bb_upper': 1.0440797966685422, 'bb_lower': 1.0434637033314575, 'bb_sma': 1.0437717499999999},None
2025-01-22 16:08:40,analysis,1.04414,{'rsi': 67.23404255318883, 'ema_short': 1.0438846256480712, 'ema_medium': 1.0438130211739851, 'ema_long': 1.0437233491350923, 'bb_upper': 1.0440797966685422, 'bb_lower': 1.0434637033314575, 'bb_sma': 1.0437717499999999},None
2025-01-22 16:08:41,analysis,1.04414,{'rsi': 67.23404255318883, 'ema_short': 1.0438846256480712, 'ema_medium': 1.0438130211739851, 'ema_long': 1.0437233491350923, 'bb_upper': 1.0440797966685422, 'bb_lower': 1.0434637033314575, 'bb_sma': 1.0437717499999999},None
2025-01-22 16:08:43,analysis,1.04414,{'rsi': 67.23404255318883, 'ema_short': 1.0438846256480712, 'ema_medium': 1.0438130211739851, 'ema_long': 1.0437233491350923, 'bb_upper': 1.0440797966685422, 'bb_lower': 1.0434637033314575, 'bb_sma': 1.0437717499999999},None
2025-01-22 16:08:44,analysis,1.04414,{'rsi': 67.23404255318883, 'ema_short': 1.0438846256480712, 'ema_medium': 1.0438130211739851, 'ema_long': 1.0437233491350923, 'bb_upper': 1.0440797966685422, 'bb_lower': 1.0434637033314575, 'bb_sma': 1.0437717499999999},None
2025-01-22 16:08:46,analysis,1.04414,{'rsi': 67.23404255318883, 'ema_short': 1.0438846256480712, 'ema_medium': 1.0438130211739851, 'ema_long': 1.0437233491350923, 'bb_upper': 1.0440797966685422, 'bb_lower': 1.0434637033314575, 'bb_sma': 1.0437717499999999},None
2025-01-22 16:08:47,analysis,1.04414,{'rsi': 67.23404255318883, 'ema_short': 1.0438846256480712, 'ema_medium': 1.0438130211739851, 'ema_long': 1.0437233491350923, 'bb_upper': 1.0440797966685422, 'bb_lower': 1.0434637033314575, 'bb_sma': 1.0437717499999999},None
2025-01-22 16:08:49,analysis,1.04414,{'rsi': 67.23404255318883, 'ema_short': 1.0438846256480712, 'ema_medium': 1.0438130211739851, 'ema_long': 1.0437233491350923, 'bb_upper': 1.0440797966685422, 'bb_lower': 1.0434637033314575, 'bb_sma': 1.0437717499999999},None
2025-01-22 16:08:51,analysis,1.04414,{'rsi': 67.23404255318883, 'ema_short': 1.0438846256480712, 'ema_medium': 1.0438130211739851, 'ema_long': 1.0437233491350923, 'bb_upper': 1.0440797966685422, 'bb_lower': 1.0434637033314575, 'bb_sma': 1.0437717499999999},None
2025-01-22 16:08:52,analysis,1.04414,{'rsi': 67.23404255318883, 'ema_short': 1.0438846256480712, 'ema_medium': 1.0438130211739851, 'ema_long': 1.0437233491350923, 'bb_upper': 1.0440797966685422, 'bb_lower': 1.0434637033314575, 'bb_sma': 1.0437717499999999},None
2025-01-22 16:08:54,analysis,1.04414,{'rsi': 67.23404255318883, 'ema_short': 1.0438846256480712, 'ema_medium': 1.0438130211739851, 'ema_long': 1.0437233491350923, 'bb_upper': 1.0440797966685422, 'bb_lower': 1.0434637033314575, 'bb_sma': 1.0437717499999999},None
2025-01-22 16:08:55,analysis,1.04414,{'rsi': 67.23404255318883, 'ema_short': 1.0438846256480712, 'ema_medium': 1.0438130211739851, 'ema_long': 1.0437233491350923, 'bb_upper': 1.0440797966685422, 'bb_lower': 1.0434637033314575, 'bb_sma': 1.0437717499999999},None
2025-01-22 16:08:57,analysis,1.04414,{'rsi': 67.23404255318883, 'ema_short': 1.0438846256480712, 'ema_medium': 1.0438130211739851, 'ema_long': 1.0437233491350923, 'bb_upper': 1.0440797966685422, 'bb_lower': 1.0434637033314575, 'bb_sma': 1.0437717499999999},None
2025-01-22 16:08:58,analysis,1.04414,{'rsi': 67.23404255318883, 'ema_short': 1.0438846256480712, 'ema_medium': 1.0438130211739851, 'ema_long': 1.0437233491350923, 'bb_upper': 1.0440797966685422, 'bb_lower': 1.0434637033314575, 'bb_sma': 1.0437717499999999},None
2025-01-22 16:09:00,analysis,1.04414,{'rsi': 67.23404255318883, 'ema_short': 1.0438846256480712, 'ema_medium': 1.0438130211739851, 'ema_long': 1.0437233491350923, 'bb_upper': 1.0440797966685422, 'bb_lower': 1.0434637033314575, 'bb_sma': 1.0437717499999999},None
2025-01-22 16:09:01,analysis,1.04417,{'rsi': 65.15837104072098, 'ema_short': 1.043948948275769, 'ema_medium': 1.0438519670817066, 'ema_long': 1.0437389046087857, 'bb_upper': 1.044140678827337, 'bb_lower': 1.043462821172663, 'bb_sma': 1.04380175},None
2025-01-22 16:09:03,analysis,1.04417,{'rsi': 65.15837104072098, 'ema_short': 1.043948948275769, 'ema_medium': 1.0438519670817066, 'ema_long': 1.0437389046087857, 'bb_upper': 1.044140678827337, 'bb_lower': 1.043462821172663, 'bb_sma': 1.04380175},None
2025-01-22 16:09:04,analysis,1.04417,{'rsi': 65.15837104072098, 'ema_short': 1.043948948275769, 'ema_medium': 1.0438519670817066, 'ema_long': 1.0437389046087857, 'bb_upper': 1.044140678827337, 'bb_lower': 1.043462821172663, 'bb_sma': 1.04380175},None
2025-01-22 16:09:06,analysis,1.04417,{'rsi': 65.15837104072098, 'ema_short': 1.043948948275769, 'ema_medium': 1.0438519670817066, 'ema_long': 1.0437389046087857, 'bb_upper': 1.044140678827337, 'bb_lower': 1.043462821172663, 'bb_sma': 1.04380175},None
2025-01-22 16:09:08,analysis,1.04417,{'rsi': 65.15837104072098, 'ema_short': 1.043948948275769, 'ema_medium': 1.0438519670817066, 'ema_long': 1.0437389046087857, 'bb_upper': 1.044140678827337, 'bb_lower': 1.043462821172663, 'bb_sma': 1.04380175},None
2025-01-22 16:09:09,analysis,1.04417,{'rsi': 65.15837104072098, 'ema_short': 1.043948948275769, 'ema_medium': 1.0438519670817066, 'ema_long': 1.0437389046087857, 'bb_upper': 1.044140678827337, 'bb_lower': 1.043462821172663, 'bb_sma': 1.04380175},None
2025-01-22 16:09:11,analysis,1.04417,{'rsi': 65.15837104072098, 'ema_short': 1.043948948275769, 'ema_medium': 1.0438519670817066, 'ema_long': 1.0437389046087857, 'bb_upper': 1.044140678827337, 'bb_lower': 1.043462821172663, 'bb_sma': 1.04380175},None
2025-01-22 16:09:12,analysis,1.04417,{'rsi': 65.15837104072098, 'ema_short': 1.043948948275769, 'ema_medium': 1.0438519670817066, 'ema_long': 1.0437389046087857, 'bb_upper': 1.044140678827337, 'bb_lower': 1.043462821172663, 'bb_sma': 1.04380175},None
2025-01-22 16:09:14,analysis,1.04417,{'rsi': 65.15837104072098, 'ema_short': 1.043948948275769, 'ema_medium': 1.0438519670817066, 'ema_long': 1.0437389046087857, 'bb_upper': 1.044140678827337, 'bb_lower': 1.043462821172663, 'bb_sma': 1.04380175},None
2025-01-22 16:09:16,analysis,1.04417,{'rsi': 65.15837104072098, 'ema_short': 1.043948948275769, 'ema_medium': 1.0438519670817066, 'ema_long': 1.0437389046087857, 'bb_upper': 1.044140678827337, 'bb_lower': 1.043462821172663, 'bb_sma': 1.04380175},None
2025-01-22 16:09:18,analysis,1.04417,{'rsi': 65.15837104072098, 'ema_short': 1.043948948275769, 'ema_medium': 1.0438519670817066, 'ema_long': 1.0437389046087857, 'bb_upper': 1.044140678827337, 'bb_lower': 1.043462821172663, 'bb_sma': 1.04380175},None
2025-01-22 16:09:20,analysis,1.04417,{'rsi': 65.15837104072098, 'ema_short': 1.043948948275769, 'ema_medium': 1.0438519670817066, 'ema_long': 1.0437389046087857, 'bb_upper': 1.044140678827337, 'bb_lower': 1.043462821172663, 'bb_sma': 1.04380175},None
2025-01-22 16:09:22,analysis,1.04417,{'rsi': 65.15837104072098, 'ema_short': 1.043948948275769, 'ema_medium': 1.0438519670817066, 'ema_long': 1.0437389046087857, 'bb_upper': 1.044140678827337, 'bb_lower': 1.043462821172663, 'bb_sma': 1.04380175},None
2025-01-22 16:09:24,analysis,1.04417,{'rsi': 65.15837104072098, 'ema_short': 1.043948948275769, 'ema_medium': 1.0438519670817066, 'ema_long': 1.0437389046087857, 'bb_upper': 1.044140678827337, 'bb_lower': 1.043462821172663, 'bb_sma': 1.04380175},None
2025-01-22 16:09:25,analysis,1.04417,{'rsi': 65.15837104072098, 'ema_short': 1.043948948275769, 'ema_medium': 1.0438519670817066, 'ema_long': 1.0437389046087857, 'bb_upper': 1.044140678827337, 'bb_lower': 1.043462821172663, 'bb_sma': 1.04380175},None
2025-01-22 16:09:27,analysis,1.04417,{'rsi': 65.15837104072098, 'ema_short': 1.043948948275769, 'ema_medium': 1.0438519670817066, 'ema_long': 1.0437389046087857, 'bb_upper': 1.044140678827337, 'bb_lower': 1.043462821172663, 'bb_sma': 1.04380175},None
2025-01-22 16:09:29,analysis,1.04417,{'rsi': 65.15837104072098, 'ema_short': 1.043948948275769, 'ema_medium': 1.0438519670817066, 'ema_long': 1.0437389046087857, 'bb_upper': 1.044140678827337, 'bb_lower': 1.043462821172663, 'bb_sma': 1.04380175},None
2025-01-22 16:09:30,analysis,1.04417,{'rsi': 65.15837104072098, 'ema_short': 1.043948948275769, 'ema_medium': 1.0438519670817066, 'ema_long': 1.0437389046087857, 'bb_upper': 1.044140678827337, 'bb_lower': 1.043462821172663, 'bb_sma': 1.04380175},None
2025-01-22 16:09:33,analysis,1.04417,{'rsi': 65.15837104072098, 'ema_short': 1.043948948275769, 'ema_medium': 1.0438519670817066, 'ema_long': 1.0437389046087857, 'bb_upper': 1.044140678827337, 'bb_lower': 1.043462821172663, 'bb_sma': 1.04380175},None
2025-01-22 16:09:34,analysis,1.04417,{'rsi': 65.15837104072098, 'ema_short': 1.043948948275769, 'ema_medium': 1.0438519670817066, 'ema_long': 1.0437389046087857, 'bb_upper': 1.044140678827337, 'bb_lower': 1.043462821172663, 'bb_sma': 1.04380175},None
2025-01-22 16:09:36,analysis,1.04417,{'rsi': 65.15837104072098, 'ema_short': 1.043948948275769, 'ema_medium': 1.0438519670817066, 'ema_long': 1.0437389046087857, 'bb_upper': 1.044140678827337, 'bb_lower': 1.043462821172663, 'bb_sma': 1.04380175},None
2025-01-22 16:09:37,analysis,1.04417,{'rsi': 65.15837104072098, 'ema_short': 1.043948948275769, 'ema_medium': 1.0438519670817066, 'ema_long': 1.0437389046087857, 'bb_upper': 1.044140678827337, 'bb_lower': 1.043462821172663, 'bb_sma': 1.04380175},None
2025-01-22 16:09:39,analysis,1.04417,{'rsi': 65.15837104072098, 'ema_short': 1.043948948275769, 'ema_medium': 1.0438519670817066, 'ema_long': 1.0437389046087857, 'bb_upper': 1.044140678827337, 'bb_lower': 1.043462821172663, 'bb_sma': 1.04380175},None
